,Fullpath,Target Int,target Str
111,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.E5.R.wav,1,ALTOSAX
112,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Eb3.L.wav,1,ALTOSAX
113,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Eb3.R.wav,1,ALTOSAX
114,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Eb4.L.wav,1,ALTOSAX
115,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Eb4.R.wav,1,ALTOSAX
116,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Eb5.L.wav,1,ALTOSAX
117,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Eb5.R.wav,1,ALTOSAX
118,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.F3.L.wav,1,ALTOSAX
119,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.F3.R.wav,1,ALTOSAX
120,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.F4.L.wav,1,ALTOSAX
121,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.F4.R.wav,1,ALTOSAX
122,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.F5.L.wav,1,ALTOSAX
123,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.F5.R.wav,1,ALTOSAX
124,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.G3.L.wav,1,ALTOSAX
125,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.G3.R.wav,1,ALTOSAX
126,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.G4.L.wav,1,ALTOSAX
127,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.G4.R.wav,1,ALTOSAX
128,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.G5.L.wav,1,ALTOSAX
129,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.G5.R.wav,1,ALTOSAX
130,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Gb3.L.wav,1,ALTOSAX
131,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Gb3.R.wav,1,ALTOSAX
132,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Gb4.L.wav,1,ALTOSAX
133,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Gb4.R.wav,1,ALTOSAX
134,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Gb5.L.wav,1,ALTOSAX
135,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Gb5.R.wav,1,ALTOSAX
136,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.A3.L.wav,1,ALTOSAX
137,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.A3.R.wav,1,ALTOSAX
138,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.A4.L.wav,1,ALTOSAX
139,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.A4.R.wav,1,ALTOSAX
140,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Ab3.L.wav,1,ALTOSAX
141,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Ab3.R.wav,1,ALTOSAX
142,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Ab4.L.wav,1,ALTOSAX
143,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Ab4.R.wav,1,ALTOSAX
144,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Ab5.L.wav,1,ALTOSAX
145,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Ab5.R.wav,1,ALTOSAX
146,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.B3.L.wav,1,ALTOSAX
147,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.B3.R.wav,1,ALTOSAX
148,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.B4.L.wav,1,ALTOSAX
149,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.B4.R.wav,1,ALTOSAX
150,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Bb3.L.wav,1,ALTOSAX
151,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Bb3.R.wav,1,ALTOSAX
152,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Bb4.L.wav,1,ALTOSAX
153,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Bb4.R.wav,1,ALTOSAX
154,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.C4.L.wav,1,ALTOSAX
155,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.C4.R.wav,1,ALTOSAX
156,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.C5.L.wav,1,ALTOSAX
157,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.C5.R.wav,1,ALTOSAX
158,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.D3.L.wav,1,ALTOSAX
159,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.D3.R.wav,1,ALTOSAX
160,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.D4.L.wav,1,ALTOSAX
161,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.D4.R.wav,1,ALTOSAX
162,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.D5.L.wav,1,ALTOSAX
163,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.D5.R.wav,1,ALTOSAX
164,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Db3.L.wav,1,ALTOSAX
165,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Db3.R.wav,1,ALTOSAX
166,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Db4.L.wav,1,ALTOSAX
167,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Db4.R.wav,1,ALTOSAX
168,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Db5.L.wav,1,ALTOSAX
169,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Db5.R.wav,1,ALTOSAX
170,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.E3.L.wav,1,ALTOSAX
171,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.E3.R.wav,1,ALTOSAX
172,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.E4.L.wav,1,ALTOSAX
173,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.E4.R.wav,1,ALTOSAX
174,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.E5.L.wav,1,ALTOSAX
175,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.E5.R.wav,1,ALTOSAX
176,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Eb3.L.wav,1,ALTOSAX
177,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Eb3.R.wav,1,ALTOSAX
178,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Eb4.L.wav,1,ALTOSAX
179,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Eb4.R.wav,1,ALTOSAX
180,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Eb5.L.wav,1,ALTOSAX
181,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Eb5.R.wav,1,ALTOSAX
182,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.F3.L.wav,1,ALTOSAX
183,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.F3.R.wav,1,ALTOSAX
184,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.F4.L.wav,1,ALTOSAX
185,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.F4.R.wav,1,ALTOSAX
186,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.F5.L.wav,1,ALTOSAX
187,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.F5.R.wav,1,ALTOSAX
188,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.G3.L.wav,1,ALTOSAX
189,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.G3.R.wav,1,ALTOSAX
190,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.G4.L.wav,1,ALTOSAX
191,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.G4.R.wav,1,ALTOSAX
192,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.G5.L.wav,1,ALTOSAX
193,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.G5.R.wav,1,ALTOSAX
194,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Gb3.L.wav,1,ALTOSAX
195,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Gb3.R.wav,1,ALTOSAX
196,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Gb4.L.wav,1,ALTOSAX
197,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Gb4.R.wav,1,ALTOSAX
198,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Gb5.L.wav,1,ALTOSAX
199,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Gb5.R.wav,1,ALTOSAX
200,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.A1.L.wav,2,BASS
201,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.A1.R.wav,2,BASS
202,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.A2.L.wav,2,BASS
203,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.A2.R.wav,2,BASS
204,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.A3.L.wav,2,BASS
205,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.A3.R.wav,2,BASS
206,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Ab2.L.wav,2,BASS
207,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Ab2.R.wav,2,BASS
208,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Ab3.L.wav,2,BASS
209,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Ab3.R.wav,2,BASS
210,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.B1.L.wav,2,BASS
211,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.B1.R.wav,2,BASS
212,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.B2.L.wav,2,BASS
213,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.B2.R.wav,2,BASS
214,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Bb1.L.wav,2,BASS
215,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Bb1.R.wav,2,BASS
216,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Bb2.L.wav,2,BASS
217,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Bb2.R.wav,2,BASS
218,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.C2.L.wav,2,BASS
219,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.C2.R.wav,2,BASS
220,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.C3.L.wav,2,BASS
221,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.C3.R.wav,2,BASS
222,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.D2.L.wav,2,BASS
223,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.D2.R.wav,2,BASS
224,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.D3.L.wav,2,BASS
225,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.D3.R.wav,2,BASS
226,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Db2.L.wav,2,BASS
227,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Db2.R.wav,2,BASS
228,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Db3.L.wav,2,BASS
229,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Db3.R.wav,2,BASS
230,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.E2.L.wav,2,BASS
231,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.E2.R.wav,2,BASS
232,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.E3.L.wav,2,BASS
233,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.E3.R.wav,2,BASS
234,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Eb2.L.wav,2,BASS
235,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Eb2.R.wav,2,BASS
236,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Eb3.L.wav,2,BASS
237,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Eb3.R.wav,2,BASS
238,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.F2.L.wav,2,BASS
239,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.F2.R.wav,2,BASS
240,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.F3.L.wav,2,BASS
241,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.F3.R.wav,2,BASS
242,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.G2.L.wav,2,BASS
243,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.G2.R.wav,2,BASS
244,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.G3.L.wav,2,BASS
245,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.G3.R.wav,2,BASS
246,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Gb2.L.wav,2,BASS
247,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Gb2.R.wav,2,BASS
248,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Gb3.L.wav,2,BASS
249,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Gb3.R.wav,2,BASS
250,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulC.C1.L.wav,2,BASS
251,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulC.C1.R.wav,2,BASS
252,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulC.D1.L.wav,2,BASS
253,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulC.D1.R.wav,2,BASS
254,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulC.Db1.L.wav,2,BASS
255,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulC.Db1.R.wav,2,BASS
256,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulC.Eb1.L.wav,2,BASS
257,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulC.Eb1.R.wav,2,BASS
258,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.A2.L.wav,2,BASS
259,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.A2.R.wav,2,BASS
260,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.A3.L.wav,2,BASS
261,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.A3.R.wav,2,BASS
262,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.Ab2.L.wav,2,BASS
263,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.Ab2.R.wav,2,BASS
264,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.Ab3.L.wav,2,BASS
265,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.Ab3.R.wav,2,BASS
266,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.B2.L.wav,2,BASS
267,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.B2.R.wav,2,BASS
268,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.B3.L.wav,2,BASS
269,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.B3.R.wav,2,BASS
270,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.Bb2.L.wav,2,BASS
271,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.Bb2.R.wav,2,BASS
272,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.Bb3.L.wav,2,BASS
273,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.Bb3.R.wav,2,BASS
274,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.C3.L.wav,2,BASS
275,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.C3.R.wav,2,BASS
