,Fullpath,Label,JARVIS,VISION,ULTRON
43,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulG.A2.R.wav,2.0,14.0,2.0,14.0
44,C:/Users/Landon/Documents/wav_audio/BbClarinet.F5.R.wav,7.0,14.0,11.0,14.0
45,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulG.C4.R.wav,23.0,14.0,9.0,14.0
46,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.Gb5.L.wav,21.0,14.0,22.0,14.0
47,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulD.C4.L.wav,9.0,14.0,23.0,14.0
48,C:/Users/Landon/Documents/wav_audio/Flute.nonvib.E6.L.wav,12.0,14.0,12.0,14.0
49,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.Eb5.R.wav,14.0,14.0,14.0,14.0
50,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulA.F3.L.wav,2.0,14.0,2.0,14.0
51,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.G5.L.wav,21.0,14.0,19.0,14.0
52,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.A2.R.wav,14.0,14.0,14.0,14.0
53,C:/Users/Landon/Documents/wav_audio/bells.plastic.E7.L.wav,8.0,14.0,14.0,14.0
54,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulC.D3.L.wav,9.0,14.0,2.0,14.0
55,C:/Users/Landon/Documents/wav_audio/SopSax.vib.Gb5.L.wav,17.0,14.0,17.0,14.0
56,C:/Users/Landon/Documents/wav_audio/AltoSax.vib.Db4.R.wav,1.0,14.0,22.0,14.0
57,C:/Users/Landon/Documents/wav_audio/bells.brass.Bb5.L.wav,8.0,14.0,14.0,14.0
58,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulD.F4.L.wav,22.0,14.0,22.0,14.0
59,C:/Users/Landon/Documents/wav_audio/AltoFlute.vib.Db4.R.wav,0.0,14.0,12.0,14.0
60,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.Eb6.L.wav,21.0,14.0,12.0,14.0
61,C:/Users/Landon/Documents/wav_audio/Horn.A4.R.wav,13.0,14.0,1.0,14.0
62,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.E3.L.wav,19.0,14.0,21.0,14.0
63,C:/Users/Landon/Documents/wav_audio/BbClarinet.D3.R.wav,7.0,14.0,9.0,14.0
64,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.A3.L.wav,14.0,14.0,14.0,14.0
65,C:/Users/Landon/Documents/wav_audio/AltoFlute.vib.B5.L.wav,0.0,14.0,9.0,14.0
66,C:/Users/Landon/Documents/wav_audio/AltoFlute.vib.Db5.R.wav,0.0,14.0,7.0,14.0
67,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulA.Bb5.R.wav,22.0,14.0,19.0,14.0
68,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.G4.R.wav,21.0,14.0,17.0,14.0
69,C:/Users/Landon/Documents/wav_audio/Trumpet.novib.B5.L.wav,19.0,14.0,23.0,14.0
70,C:/Users/Landon/Documents/wav_audio/Xylophone.hardrubber.D6.R.wav,24.0,14.0,14.0,14.0
71,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulC.Db3.L.wav,22.0,14.0,21.0,14.0
72,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.Bb3.R.wav,21.0,14.0,2.0,14.0
73,C:/Users/Landon/Documents/wav_audio/BassClarinet.Db2.R.wav,3.0,14.0,21.0,14.0
74,C:/Users/Landon/Documents/wav_audio/Marimba.cord.Ab5.R.wav,14.0,14.0,14.0,14.0
75,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.F3.L.wav,14.0,14.0,14.0,14.0
76,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.D3.L.wav,14.0,14.0,14.0,14.0
77,C:/Users/Landon/Documents/wav_audio/Xylophone.hardrubber.D5.R.wav,24.0,14.0,14.0,14.0
78,C:/Users/Landon/Documents/wav_audio/SopSax.vib.F5.R.wav,17.0,14.0,17.0,14.0
79,C:/Users/Landon/Documents/wav_audio/BassTrombone.B2.L.wav,6.0,14.0,14.0,14.0
80,C:/Users/Landon/Documents/wav_audio/SopSax.vib.G4.R.wav,17.0,14.0,19.0,14.0
81,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.Eb3.R.wav,21.0,14.0,21.0,14.0
82,C:/Users/Landon/Documents/wav_audio/bells.brass.Ab5.L.wav,8.0,14.0,21.0,14.0
83,C:/Users/Landon/Documents/wav_audio/Bassoon.Db2.R.wav,5.0,14.0,21.0,14.0
84,C:/Users/Landon/Documents/wav_audio/Flute.vib.Eb4.R.wav,12.0,14.0,7.0,14.0
85,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulC.Gb4.R.wav,22.0,14.0,1.0,14.0
86,C:/Users/Landon/Documents/wav_audio/bells.brass.A7.L.wav,8.0,14.0,14.0,14.0
87,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulG.C5.R.wav,22.0,14.0,22.0,14.0
88,C:/Users/Landon/Documents/wav_audio/AltoSax.vib.Bb3.R.wav,1.0,14.0,9.0,14.0
89,C:/Users/Landon/Documents/wav_audio/EbClarinet.Eb5.L.wav,11.0,14.0,7.0,14.0
90,C:/Users/Landon/Documents/wav_audio/Xylophone.hardrubber.Eb7.L.wav,24.0,14.0,14.0,14.0
91,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulA.E5.L.wav,9.0,14.0,17.0,14.0
92,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.Gb5.R.wav,14.0,14.0,14.0,14.0
93,C:/Users/Landon/Documents/wav_audio/Marimba.cord.G4.R.wav,14.0,14.0,14.0,14.0
94,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulD.Bb5.R.wav,22.0,14.0,11.0,14.0
95,C:/Users/Landon/Documents/wav_audio/SopSax.vib.G4.L.wav,17.0,14.0,19.0,14.0
96,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.Bb3.R.wav,14.0,14.0,14.0,14.0
97,C:/Users/Landon/Documents/wav_audio/BassClarinet.Bb3.L.wav,3.0,14.0,2.0,14.0
98,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulG.G4.L.wav,22.0,14.0,1.0,14.0
99,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulC.C5.L.wav,22.0,14.0,7.0,14.0
100,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.B5.R.wav,14.0,14.0,14.0,14.0
101,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulD.A4.L.wav,23.0,14.0,9.0,14.0
102,C:/Users/Landon/Documents/wav_audio/Xylophone.rosewood.Bb6.L.wav,24.0,14.0,14.0,14.0
103,C:/Users/Landon/Documents/wav_audio/SopSax.nonvib.E4.L.wav,17.0,14.0,22.0,14.0
104,C:/Users/Landon/Documents/wav_audio/Bassoon.D3.R.wav,5.0,14.0,0.0,14.0
105,C:/Users/Landon/Documents/wav_audio/AltoSax.NoVib.B4.R.wav,1.0,14.0,5.0,14.0
106,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.Eb3.L.wav,14.0,14.0,14.0,14.0
107,C:/Users/Landon/Documents/wav_audio/BassFlute.B4.L.wav,4.0,14.0,22.0,14.0
108,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulE.Bb1.L.wav,2.0,14.0,2.0,14.0
109,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulD.Ab5.L.wav,22.0,14.0,12.0,14.0
110,C:/Users/Landon/Documents/wav_audio/Horn.B3.L.wav,13.0,14.0,9.0,14.0
111,C:/Users/Landon/Documents/wav_audio/bells.plastic.C8.R.wav,8.0,14.0,8.0,14.0
112,C:/Users/Landon/Documents/wav_audio/BbClarinet.Gb6.R.wav,7.0,14.0,7.0,14.0
113,C:/Users/Landon/Documents/wav_audio/Bassoon.G2.L.wav,5.0,14.0,5.0,14.0
114,C:/Users/Landon/Documents/wav_audio/Oboe.D5.L.wav,15.0,14.0,21.0,14.0
115,C:/Users/Landon/Documents/wav_audio/Flute.vib.E5.L.wav,12.0,14.0,19.0,14.0
116,C:/Users/Landon/Documents/wav_audio/Vibraphone.sustain.F6.L.wav,21.0,14.0,21.0,14.0
117,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.E6.R.wav,21.0,14.0,12.0,14.0
118,C:/Users/Landon/Documents/wav_audio/Bassoon.Gb2.L.wav,5.0,14.0,7.0,14.0
119,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulC.Db4.R.wav,22.0,14.0,22.0,14.0
120,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulD.G5.R.wav,22.0,14.0,22.0,14.0
121,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulD.Ab3.L.wav,9.0,14.0,9.0,14.0
122,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.B5.L.wav,19.0,14.0,22.0,14.0
123,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulA.B5.L.wav,23.0,14.0,21.0,14.0
124,C:/Users/Landon/Documents/wav_audio/Marimba.cord.Ab2.L.wav,14.0,14.0,14.0,14.0
125,C:/Users/Landon/Documents/wav_audio/Xylophone.rosewood.Bb7.L.wav,24.0,14.0,14.0,14.0
126,C:/Users/Landon/Documents/wav_audio/hihat.normal.L.wav,10.0,14.0,14.0,14.0
127,C:/Users/Landon/Documents/wav_audio/AltoSax.NoVib.Ab4.L.wav,1.0,14.0,21.0,14.0
128,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.E2.L.wav,14.0,14.0,14.0,14.0
129,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulA.Ab3.L.wav,2.0,14.0,9.0,14.0
130,C:/Users/Landon/Documents/wav_audio/AltoSax.vib.E5.R.wav,1.0,14.0,17.0,14.0
131,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.B2.L.wav,14.0,14.0,14.0,14.0
132,C:/Users/Landon/Documents/wav_audio/Xylophone.rosewood.F4.L.wav,24.0,14.0,14.0,14.0
133,C:/Users/Landon/Documents/wav_audio/Vibraphone.dampen.Bb3.L.wav,21.0,14.0,14.0,14.0
134,C:/Users/Landon/Documents/wav_audio/Tuba.G2.R.wav,20.0,14.0,14.0,14.0
135,C:/Users/Landon/Documents/wav_audio/BbClarinet.A4.R.wav,7.0,14.0,9.0,14.0
136,C:/Users/Landon/Documents/wav_audio/SopSax.vib.A3.R.wav,17.0,14.0,12.0,14.0
137,C:/Users/Landon/Documents/wav_audio/TenorTrombone.E4.R.wav,18.0,14.0,21.0,14.0
138,C:/Users/Landon/Documents/wav_audio/Flute.vib.F5.L.wav,12.0,14.0,22.0,14.0
139,C:/Users/Landon/Documents/wav_audio/Vibraphone.dampen.E4.L.wav,21.0,14.0,14.0,14.0
140,C:/Users/Landon/Documents/wav_audio/Marimba.cord.F3.R.wav,14.0,14.0,14.0,14.0
141,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulA.F3.R.wav,2.0,14.0,2.0,14.0
142,C:/Users/Landon/Documents/wav_audio/BassFlute.C4.R.wav,4.0,14.0,3.0,14.0
143,C:/Users/Landon/Documents/wav_audio/bells.plastic.A7.R.wav,8.0,14.0,14.0,14.0
144,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.E4.R.wav,14.0,14.0,14.0,14.0
145,C:/Users/Landon/Documents/wav_audio/bells.brass.Eb5.R.wav,8.0,14.0,14.0,14.0
146,C:/Users/Landon/Documents/wav_audio/Tuba.Bb1.L.wav,20.0,14.0,14.0,14.0
147,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulC.Bb3.R.wav,9.0,14.0,9.0,14.0
148,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.Eb3.L.wav,21.0,14.0,14.0,14.0
149,C:/Users/Landon/Documents/wav_audio/Horn.Bb2.R.wav,13.0,14.0,21.0,14.0
150,C:/Users/Landon/Documents/wav_audio/Crotale.G6.R.wav,16.0,14.0,14.0,14.0
151,C:/Users/Landon/Documents/wav_audio/TenorTrombone.A4.R.wav,18.0,14.0,21.0,14.0
152,C:/Users/Landon/Documents/wav_audio/Horn.A2.L.wav,13.0,14.0,14.0,14.0
153,C:/Users/Landon/Documents/wav_audio/Flute.vib.Ab4.L.wav,12.0,14.0,2.0,14.0
154,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulD.Db4.L.wav,9.0,14.0,9.0,14.0
155,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.A5.R.wav,21.0,14.0,12.0,14.0
156,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulG.F4.L.wav,23.0,14.0,23.0,14.0
157,C:/Users/Landon/Documents/wav_audio/SopSax.vib.Db5.L.wav,17.0,14.0,23.0,14.0
158,C:/Users/Landon/Documents/wav_audio/Xylophone.hardrubber.G6.R.wav,24.0,14.0,14.0,14.0
159,C:/Users/Landon/Documents/wav_audio/Horn.C3.R.wav,13.0,14.0,14.0,14.0
160,C:/Users/Landon/Documents/wav_audio/AltoFlute.vib.D5.R.wav,0.0,14.0,21.0,14.0
161,C:/Users/Landon/Documents/wav_audio/Vibraphone.dampen.Eb6.R.wav,21.0,14.0,14.0,14.0
162,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.Bb3.L.wav,21.0,14.0,2.0,14.0
163,C:/Users/Landon/Documents/wav_audio/EbClarinet.G4.R.wav,11.0,14.0,22.0,14.0
164,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulG.Db5.L.wav,22.0,14.0,7.0,14.0
165,C:/Users/Landon/Documents/wav_audio/Bassoon.Db5.L.wav,5.0,14.0,7.0,14.0
166,C:/Users/Landon/Documents/wav_audio/EbClarinet.A4.L.wav,11.0,14.0,12.0,14.0
167,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulD.E2.R.wav,2.0,14.0,2.0,14.0
168,C:/Users/Landon/Documents/wav_audio/Vibraphone.dampen.A3.L.wav,21.0,14.0,14.0,14.0
169,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulC.A3.R.wav,22.0,14.0,9.0,14.0
170,C:/Users/Landon/Documents/wav_audio/bells.plastic.F6.L.wav,8.0,14.0,21.0,14.0
171,C:/Users/Landon/Documents/wav_audio/Crotale.C8.L.wav,16.0,14.0,8.0,14.0
172,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.Ab5.L.wav,19.0,14.0,19.0,14.0
173,C:/Users/Landon/Documents/wav_audio/Horn.Eb4.L.wav,13.0,14.0,17.0,14.0
174,C:/Users/Landon/Documents/wav_audio/AltoFlute.vib.A3.L.wav,0.0,14.0,9.0,14.0
175,C:/Users/Landon/Documents/wav_audio/Marimba.cord.B5.R.wav,14.0,14.0,14.0,14.0
176,C:/Users/Landon/Documents/wav_audio/BbClarinet.F5.L.wav,7.0,14.0,11.0,14.0
177,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.E5.R.wav,19.0,14.0,19.0,14.0
178,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.Bb5.L.wav,14.0,14.0,14.0,14.0
179,C:/Users/Landon/Documents/wav_audio/Tuba.Gb1.R.wav,20.0,14.0,14.0,14.0
180,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.E6.R.wav,14.0,14.0,14.0,14.0
181,C:/Users/Landon/Documents/wav_audio/bells.brass.F6.R.wav,8.0,14.0,14.0,14.0
182,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.B3.L.wav,21.0,14.0,9.0,14.0
183,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulE.C7.R.wav,23.0,14.0,21.0,14.0
184,C:/Users/Landon/Documents/wav_audio/BassFlute.Gb5.R.wav,4.0,14.0,9.0,14.0
185,C:/Users/Landon/Documents/wav_audio/BassClarinet.Ab4.L.wav,3.0,14.0,1.0,14.0
186,C:/Users/Landon/Documents/wav_audio/TenorTrombone.B3.R.wav,18.0,14.0,14.0,14.0
187,C:/Users/Landon/Documents/wav_audio/bells.plastic.C5.R.wav,8.0,14.0,8.0,14.0
188,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.B4.R.wav,21.0,14.0,17.0,14.0
189,C:/Users/Landon/Documents/wav_audio/Tuba.F3.L.wav,20.0,14.0,22.0,14.0
190,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.Bb5.R.wav,21.0,14.0,21.0,14.0
191,C:/Users/Landon/Documents/wav_audio/bells.plastic.C7.L.wav,8.0,14.0,14.0,14.0
192,C:/Users/Landon/Documents/wav_audio/Xylophone.rosewood.E7.R.wav,24.0,14.0,14.0,14.0
193,C:/Users/Landon/Documents/wav_audio/Vibraphone.dampen.Bb4.R.wav,21.0,14.0,14.0,14.0
194,C:/Users/Landon/Documents/wav_audio/Marimba.cord.Db5.R.wav,14.0,14.0,14.0,14.0
195,C:/Users/Landon/Documents/wav_audio/AltoFlute.vib.Db6.L.wav,0.0,14.0,7.0,14.0
196,C:/Users/Landon/Documents/wav_audio/Oboe.F4.R.wav,15.0,14.0,12.0,14.0
197,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.C7.L.wav,14.0,14.0,21.0,14.0
198,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulG.Bb4.R.wav,22.0,14.0,11.0,14.0
199,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulG.Gb4.R.wav,22.0,14.0,9.0,14.0
200,C:/Users/Landon/Documents/wav_audio/TenorTrombone.Ab2.R.wav,18.0,14.0,14.0,14.0
201,C:/Users/Landon/Documents/wav_audio/BassTrombone.Eb3.L.wav,6.0,14.0,14.0,14.0
202,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulG.G3.R.wav,22.0,14.0,9.0,14.0
203,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulG.B2.L.wav,2.0,14.0,2.0,14.0
204,C:/Users/Landon/Documents/wav_audio/Flute.nonvib.Gb5.L.wav,12.0,14.0,9.0,14.0
205,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulG.A4.L.wav,22.0,14.0,21.0,14.0
206,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulD.F2.R.wav,2.0,14.0,2.0,14.0
207,C:/Users/Landon/Documents/wav_audio/EbClarinet.B3.R.wav,11.0,14.0,21.0,14.0
208,C:/Users/Landon/Documents/wav_audio/BbClarinet.F3.R.wav,7.0,14.0,2.0,14.0
209,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.Eb4.R.wav,14.0,14.0,14.0,14.0
210,C:/Users/Landon/Documents/wav_audio/Flute.vib.E4.L.wav,12.0,14.0,1.0,14.0
211,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.A5.R.wav,14.0,14.0,14.0,14.0
212,C:/Users/Landon/Documents/wav_audio/AltoSax.NoVib.A3.R.wav,1.0,14.0,9.0,14.0
213,C:/Users/Landon/Documents/wav_audio/Marimba.cord.E5.R.wav,14.0,14.0,14.0,14.0
214,C:/Users/Landon/Documents/wav_audio/bells.plastic.G7.L.wav,8.0,14.0,8.0,14.0
215,C:/Users/Landon/Documents/wav_audio/Flute.nonvib.G5.R.wav,12.0,14.0,12.0,14.0
216,C:/Users/Landon/Documents/wav_audio/bells.plastic.Eb5.R.wav,8.0,14.0,14.0,14.0
217,C:/Users/Landon/Documents/wav_audio/BassTrombone.Bb1.R.wav,6.0,14.0,14.0,14.0
218,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.E4.L.wav,14.0,14.0,14.0,14.0
219,C:/Users/Landon/Documents/wav_audio/Vibraphone.sustain.B3.R.wav,21.0,14.0,9.0,14.0
220,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.A5.L.wav,14.0,14.0,14.0,14.0
221,C:/Users/Landon/Documents/wav_audio/Crotale.A6.R.wav,16.0,14.0,14.0,14.0
222,C:/Users/Landon/Documents/wav_audio/Vibraphone.sustain.F4.L.wav,21.0,14.0,21.0,14.0
223,C:/Users/Landon/Documents/wav_audio/Xylophone.hardrubber.G6.L.wav,24.0,14.0,14.0,14.0
224,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.A4.L.wav,21.0,14.0,9.0,14.0
225,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulA.Eb5.R.wav,23.0,14.0,22.0,14.0
226,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulD.E4.R.wav,22.0,14.0,7.0,14.0
227,C:/Users/Landon/Documents/wav_audio/TenorTrombone.C3.R.wav,18.0,14.0,14.0,14.0
228,C:/Users/Landon/Documents/wav_audio/Horn.F2.R.wav,13.0,14.0,14.0,14.0
229,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulD.D5.L.wav,22.0,14.0,22.0,14.0
230,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulA.Bb5.L.wav,22.0,14.0,11.0,14.0
231,C:/Users/Landon/Documents/wav_audio/hihat.bell.R.wav,10.0,14.0,14.0,14.0
232,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.A5.L.wav,19.0,14.0,12.0,14.0
233,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulD.C3.R.wav,2.0,14.0,2.0,14.0
234,C:/Users/Landon/Documents/wav_audio/Xylophone.hardrubber.A4.L.wav,24.0,14.0,14.0,14.0
235,C:/Users/Landon/Documents/wav_audio/Flute.vib.A5.R.wav,12.0,14.0,12.0,14.0
236,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulG.A2.R.wav,9.0,14.0,2.0,14.0
237,C:/Users/Landon/Documents/wav_audio/TenorTrombone.D3.R.wav,18.0,14.0,14.0,14.0
238,C:/Users/Landon/Documents/wav_audio/Marimba.cord.B2.L.wav,14.0,14.0,14.0,14.0
239,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulE.A2.L.wav,2.0,14.0,2.0,14.0
240,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.Gb4.R.wav,14.0,14.0,14.0,14.0
241,C:/Users/Landon/Documents/wav_audio/bells.brass.G5.L.wav,8.0,14.0,14.0,14.0
242,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulE.Bb2.R.wav,2.0,14.0,2.0,14.0
243,C:/Users/Landon/Documents/wav_audio/Oboe.C6.L.wav,15.0,14.0,1.0,14.0
244,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.Db3.L.wav,21.0,14.0,2.0,14.0
245,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.C5.L.wav,21.0,14.0,21.0,14.0
246,C:/Users/Landon/Documents/wav_audio/Xylophone.rosewood.F5.R.wav,24.0,14.0,14.0,14.0
247,C:/Users/Landon/Documents/wav_audio/bells.brass.F7.R.wav,8.0,14.0,14.0,14.0
248,C:/Users/Landon/Documents/wav_audio/AltoSax.vib.C4.R.wav,1.0,14.0,22.0,14.0
249,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.Eb5.R.wav,19.0,14.0,19.0,14.0
250,C:/Users/Landon/Documents/wav_audio/Vibraphone.sustain.Bb4.R.wav,21.0,14.0,21.0,14.0
